"","COUNTY","DATE","Population","cdc_multiplier","cdc_case_vacc_obs_imm_up","N","I","R","S"
"1","Alamance",2020-02-23,163324,0,0,163324,0,0,163324
"2","Alamance",2020-02-27,163324,0,0,163324,0,0,163324
"3","Alamance",2020-03-01,163324,0,0,163324,0,0,163324
"4","Alamance",2020-03-05,163324,0,0,163324,0,0,163324
"5","Alamance",2020-03-08,163324,0,0,163324,0,0,163324
"6","Alamance",2020-03-12,163324,0,0,163324,0,0,163324
"7","Alamance",2020-03-15,163324,0,0,163324,0,0,163324
"8","Alamance",2020-03-19,163324,0,0,163324,0,0,163324
"9","Alamance",2020-03-22,163324,24,0.0146947172491489,163324,24,0,163300
"10","Alamance",2020-03-26,163324,0,0.0146947172491489,163324,0,24,163300
"11","Alamance",2020-03-29,163324,24,0.0293894344982979,163324,24,24,163276
"12","Alamance",2020-04-02,163324,0,0.0293894344982979,163324,0,48,163276
"13","Alamance",2020-04-05,163324,64,0.068575347162695,163324,64,48,163212
"14","Alamance",2020-04-09,163324,0,0.068575347162695,163324,0,112,163212
"15","Alamance",2020-04-12,163324,56,0.102863020744042,163324,56,112,163156
"16","Alamance",2020-04-16,163324,0,0.102863020744042,163324,0,168,163156
"17","Alamance",2020-04-19,163324,64,0.14204893340844,163324,64,168,163092
"18","Alamance",2020-04-23,163324,0,0.14204893340844,163324,0,232,163092
"19","Alamance",2020-04-26,163324,140,0.227768117361808,163324,140,232,162952
"20","Alamance",2020-04-30,163324,0,0.227768117361808,163324,0,372,162952
"21","Alamance",2020-05-03,163324,136,0.311038181773652,163324,136,372,162816
"22","Alamance",2020-05-07,163324,0,0.311038181773652,163324,0,508,162816
"23","Alamance",2020-05-10,163324,212,0.440841517474468,163324,212,508,162604
"24","Alamance",2020-05-14,163324,0,0.440841517474468,163324,0,720,162604
"25","Alamance",2020-05-17,163324,236,0.585339570424432,163324,236,720,162368
"26","Alamance",2020-05-21,163324,0,0.585339570424432,163324,0,956,162368
"27","Alamance",2020-05-24,163324,264,0.746981460165071,163324,264,956,162104
"28","Alamance",2020-05-28,163324,0,0.746981460165071,163324,0,1220,162104
"29","Alamance",2020-05-31,163324,368,0.972300457985354,163324,368,1220,161736
"30","Alamance",2020-06-04,163324,0,0.972300457985354,163324,0,1588,161736
"31","Alamance",2020-06-07,163324,688,1.39354901912762,163324,688,1588,161048
"32","Alamance",2020-06-11,163324,0,1.39354901912762,163324,0,2276,161048
"33","Alamance",2020-06-14,163324,1020,2.01807450221645,163324,1020,2276,160028
"34","Alamance",2020-06-18,163324,0,2.01807450221645,163324,0,3296,160028
"35","Alamance",2020-06-21,163324,680,2.43442482427567,163324,680,3296,159348
"36","Alamance",2020-06-25,163324,0,2.43442482427567,163324,0,3976,159348
"37","Alamance",2020-06-28,163324,848,2.95363816707893,163324,848,3976,158500
"38","Alamance",2020-07-02,163324,0,2.95363816707893,163324,0,4824,158500
"39","Alamance",2020-07-05,163324,600,3.32100609830766,163324,600,4824,157900
"40","Alamance",2020-07-09,163324,0,3.32100609830766,163324,0,5424,157900
"41","Alamance",2020-07-12,163324,904,3.87450711469227,163324,904,5424,156996
"42","Alamance",2020-07-16,163324,0,3.87450711469227,163324,0,6328,156996
"43","Alamance",2020-07-19,163324,1040,4.51127819548872,163324,1040,6328,155956
"44","Alamance",2020-07-23,163324,0,4.51127819548872,163324,0,7368,155956
"45","Alamance",2020-07-26,163324,968,5.10396512453773,163324,968,7368,154988
"46","Alamance",2020-07-30,163324,0,5.10396512453773,163324,0,8336,154988
"47","Alamance",2020-08-02,163324,900,5.65501702138081,163324,900,8336,154088
"48","Alamance",2020-08-06,163324,0,5.65501702138081,163324,0,9236,154088
"49","Alamance",2020-08-09,163324,876,6.19137420097475,163324,876,9236,153212
"50","Alamance",2020-08-13,163324,0,6.19137420097475,163324,0,10112,153212
"51","Alamance",2020-08-16,163324,796,6.67874898973819,163324,796,10112,152416
"52","Alamance",2020-08-20,163324,0,6.67874898973819,163324,0,10908,152416
"53","Alamance",2020-08-23,163324,1004,7.29347799466092,163324,1004,10908,151412
"54","Alamance",2020-08-27,163324,0,7.29347799466092,163324,0,11912,151412
"55","Alamance",2020-08-30,163324,1132,7.98657882491244,163324,1132,11912,150280
"56","Alamance",2020-09-03,163324,0,7.98657882491244,163324,0,13044,150280
"57","Alamance",2020-09-06,163324,748,8.44456417917759,163324,748,13044,149532
"58","Alamance",2020-09-10,163324,0,8.44456417917759,163324,0,13792,149532
"59","Alamance",2020-09-13,163324,632,8.83152506673851,163324,632,13792,148900
"60","Alamance",2020-09-17,163324,0,8.83152506673851,163324,0,14424,148900
"61","Alamance",2020-09-20,163324,1032,9.46339790845191,163324,1032,14424,147868
"62","Alamance",2020-09-24,163324,0,9.46339790845191,163324,0,15456,147868
"63","Alamance",2020-09-27,163324,856,9.98750949033822,163324,856,15456,147012
"64","Alamance",2020-10-01,163324,0,9.98750949033822,163324,0,16312,147012
"65","Alamance",2020-10-04,163324,780,10.4650878009356,163324,780,16312,146232
"66","Alamance",2020-10-08,163324,0,10.4650878009356,163324,0,17092,146232
"67","Alamance",2020-10-11,163324,1204,11.2022727829345,163324,1204,17092,145028
"68","Alamance",2020-10-15,163324,0,11.2022727829345,163324,0,18296,145028
"69","Alamance",2020-10-18,163324,1376,12.0447699052191,163324,1376,18296,143652
"70","Alamance",2020-10-22,163324,0,12.0447699052191,163324,0,19672,143652
"71","Alamance",2020-10-25,163324,1604,13.0268668413705,163324,1604,19672,142048
"72","Alamance",2020-10-29,163324,0,13.0268668413705,163324,0,21276,142048
"73","Alamance",2020-11-01,163324,1432,13.9036516372364,163324,1432,21276,140616
"74","Alamance",2020-11-05,163324,0,13.9036516372364,163324,0,22708,140616
"75","Alamance",2020-11-08,163324,1228,14.6555313364845,163324,1228,22708,139388
"76","Alamance",2020-11-12,163324,0,14.6555313364845,163324,0,23936,139388
"77","Alamance",2020-11-15,163324,1968,15.8604981509148,163324,1968,23936,137420
"78","Alamance",2020-11-19,163324,0,15.8604981509148,163324,0,25904,137420
"79","Alamance",2020-11-22,163324,2408,17.3348681149127,163324,2408,25904,135012
"80","Alamance",2020-11-26,163324,0,17.3348681149127,163324,0,28312,135012
"81","Alamance",2020-11-29,163324,2112,18.6280032328378,163324,2112,28312,132900
"82","Alamance",2020-12-03,163324,0,18.6280032328378,163324,0,30424,132900
"83","Alamance",2020-12-06,163324,3112,20.5334182361441,163324,3112,30424,129788
"84","Alamance",2020-12-10,163324,0,20.5334182361441,163324,0,33536,129788
"85","Alamance",2020-12-13,163324,2988,22.3629105336632,163324,2988,33536,126800
"86","Alamance",2020-12-16,163324,0,22.3629105336632,163324,0,36524,126800
"87","Alamance",2020-12-17,163324,0,22.3629105336632,163324,0,36524,126800
"88","Alamance",2020-12-18,163324,0,22.3629105336632,163324,0,36524,126800
"89","Alamance",2020-12-19,163324,0,22.3629105336632,163324,0,36524,126800
"90","Alamance",2020-12-20,163324,3068,24.2413852220127,163324,3068,36524,123732
"91","Alamance",2020-12-21,163324,0,24.2413852220127,163324,0,39592,123732
"92","Alamance",2020-12-22,163324,0,24.2413852220127,163324,0,39592,123732
"93","Alamance",2020-12-23,163324,0,24.2413852220127,163324,0,39592,123732
"94","Alamance",2020-12-24,163324,0,24.2413852220127,163324,0,39592,123732
"95","Alamance",2020-12-25,163324,0,24.2413852220127,163324,0,39592,123732
"96","Alamance",2020-12-26,163324,0,24.2413852220127,163324,0,39592,123732
"97","Alamance",2020-12-27,163324,2996,26.0757757586148,163324,2996,39592,120736
"98","Alamance",2020-12-28,163324,0,26.0757757586148,163324,0,42588,120736
"99","Alamance",2020-12-29,163324,0,26.0757757586148,163324,0,42588,120736
"100","Alamance",2020-12-30,163324,0,26.086319218241,163324,0,42605.22,120718.78
"101","Alamance",2020-12-31,163324,0,26.0968626778673,163324,0,42622.44,120701.56
"102","Alamance",2021-01-01,163324,0,26.1126659132728,163324,0,42648.2504761936,120675.749523806
"103","Alamance",2021-01-02,163324,0,26.1322261313726,163324,0,42680.197006803,120643.802993197
"104","Alamance",2021-01-03,163324,3904,28.54663540124,163324,3904,42719.5068027212,116700.493197279
"105","Alamance",2021-01-04,163324,0,28.5752123778184,163324,0,46670.1798639482,116653.820136052
"106","Alamance",2021-01-05,163324,0,28.6082977336312,163324,0,46724.2161904758,116599.783809524
"107","Alamance",2021-01-06,163324,0,28.6458914686832,163324,0,46785.6157823122,116538.384217688
"108","Alamance",2021-01-07,163324,0,28.6879935829746,163324,0,46854.3786394574,116469.621360543
"109","Alamance",2021-01-08,163324,0,28.7378111735522,163324,0,46935.7427210924,116388.257278908
"110","Alamance",2021-01-09,163324,0,28.7953442404362,163324,0,47029.70802725,116294.29197275
"111","Alamance",2021-01-10,163324,4680,31.7260626471905,163324,4680,47136.2745578974,111507.725442103
"112","Alamance",2021-01-11,163324,0,31.7990266666473,163324,0,51935.442313035,111388.557686965
"113","Alamance",2021-01-12,163324,0,31.8797061623902,163324,0,52067.2112926622,111256.788707338
"114","Alamance",2021-01-13,163324,0,31.9681011344193,163324,0,52211.581496779,111112.418503221
"115","Alamance",2021-01-14,163324,0,32.0642115827346,163324,0,52368.5529253854,110955.447074615
"116","Alamance",2021-01-15,163324,0,32.1727962965525,163324,0,52545.8978233814,110778.102176619
"117","Alamance",2021-01-16,163324,0,32.2938552758731,163324,0,52743.616190767,110580.383809233
"118","Alamance",2021-01-17,163324,3704,34.6952732161484,163324,3704,52961.7080275422,106658.291972458
"119","Alamance",2021-01-18,163324,0,34.8412807264242,163324,0,56904.173333625,106419.826666375
"120","Alamance",2021-01-19,163324,0,34.9997625022019,163324,0,57163.0121090962,106160.987890904
"121","Alamance",2021-01-20,163324,0,35.1707185434823,163324,0,57442.224353957,105881.775646043
"122","Alamance",2021-01-21,163324,0,35.3541488502654,163324,0,57741.8100682074,105582.189931793
"123","Alamance",2021-01-22,163324,0,35.5454468286367,163324,0,58054.2455784026,105269.754421597
"124","Alamance",2021-01-23,163324,0,35.744612478597,163324,0,58379.5308845438,104944.469115456
"125","Alamance",2021-01-24,163324,2676,37.5901067733755,163324,2676,58717.6659865478,101930.334013452
"126","Alamance",2021-01-25,163324,0,37.8050077664621,163324,0,61744.6508844966,101579.349115503
"127","Alamance",2021-01-26,163324,0,38.0277764311377,163324,0,62108.4855783914,101215.514421609
"128","Alamance",2021-01-27,163324,0,38.2584127673514,163324,0,62485.170068149,100838.829931851
"129","Alamance",2021-01-28,163324,0,38.4969167751533,163324,0,62874.7043538514,100449.295646149
"130","Alamance",2021-01-29,163324,0,38.7410352645829,163324,0,63273.4084355274,100050.591564473
"131","Alamance",2021-01-30,163324,0,38.9907682355878,163324,0,63681.2823130914,99642.7176869086
"132","Alamance",2021-01-31,163324,2328,40.6715032613354,163324,2328,64098.3259865434,96897.6740134566
"133","Alamance",2021-02-01,163324,0,40.932465195541,163324,0,66852.5394559654,96471.4605440346
"134","Alamance",2021-02-02,163324,0,41.1990416113219,163324,0,67287.9227212754,96036.0772787246
"135","Alamance",2021-02-03,163324,0,41.4712325086781,163324,0,67732.4757824734,95591.5242175266
"136","Alamance",2021-02-04,163324,0,41.7490378876598,163324,0,68186.1986396414,95137.8013603586
"137","Alamance",2021-02-05,163324,0,42.0162853122085,163324,0,68622.6778233114,94701.3221766886
"138","Alamance",2021-02-06,163324,0,42.2729747823317,163324,0,69041.9133334954,94282.0866665046
"139","Alamance",2021-02-07,163324,1864,43.6603960044301,163324,1864,69443.9051702754,92016.0948297246
"140","Alamance",2021-02-08,163324,0,43.895969565745,163324,0,71692.6533335574,91631.3466664426
"141","Alamance",2021-02-09,163324,0,44.1209851726344,163324,0,72060.1578233534,91263.8421766466
"142","Alamance",2021-02-10,163324,0,44.3354428250909,163324,0,72410.4186396514,90913.5813603486
"143","Alamance",2021-02-11,163324,0,44.539342523172,163324,0,72743.4357825454,90580.5642174546
"144","Alamance",2021-02-12,163324,0,44.7511418813227,163324,0,73089.3549662514,90234.6450337486
"145","Alamance",2021-02-13,163324,0,44.9708408995429,163324,0,73448.1761907694,89875.8238092306
"146","Alamance",2021-02-14,163324,1748,46.268704817479,163324,1748,73819.8994560994,87756.1005439006
"147","Alamance",2021-02-15,163324,0,46.5042031558383,163324,0,75952.5247622414,87371.4752377586
"148","Alamance",2021-02-16,163324,0,46.7476011542672,163324,0,76350.0521091954,86973.9478908046
"149","Alamance",2021-02-17,163324,0,46.9988988127657,163324,0,76760.4814969614,86563.5185030386
"150","Alamance",2021-02-18,163324,0,47.2580961313337,163324,0,77183.8129255394,86140.1870744606
"151","Alamance",2021-02-19,163324,0,47.5285134162961,163324,0,77625.4692520314,85698.5307479686
"152","Alamance",2021-02-20,163324,0,47.8101506677031,163324,0,78085.4504765194,85238.5495234806
"153","Alamance",2021-02-21,163324,1284,48.8891752583842,163324,1284,78563.7565990034,83476.2434009966
